,aus,ban,fin,rom,tur,rand
ea,0.06996456543718525,0.12866870428389007,0.33454108898586465,0.44158099514357774,0.0,0.025244646149482342
eb_,0.0,0.0,0.8586102719033232,0.0,0.0,0.14138972809667674
_eb,0.12051053725140988,0.0,0.0,0.36153161175422976,0.06025526862570497,0.4577025823686554
eb,0.3145904247063874,0.16641028020360488,0.06365543006808792,0.2378555603874584,0.1749847273383672,0.04250357729609412
ec_,0.13079896907216496,0.0,0.0,0.3051975945017182,0.26159793814432986,0.302405498281787
_ec,0.0,0.0,0.0,0.6681453921007441,0.14524899828277044,0.18660560961648542
ec,0.0646461123320833,0.0,0.0,0.7301520436492422,0.18367464509141024,0.021527198927264162
ed_,0.0,0.0,0.9317269076305221,0.0,0.0,0.06827309236947791
_ed,0.07319637096886031,0.00506744106707493,0.1461782470777387,0.2070143517401358,0.3889059930048789,0.17963759614131147
ed,0.10607990123991978,0.06939715020176197,0.11224372434009619,0.33938219598022096,0.3440300371924925,0.028866991045508442
ee_,0.0,0.24762295537999335,0.6634337561663143,0.0,0.0,0.08894328845369241
_ee,0.0,0.0,0.819650067294751,0.0,0.0,0.18034993270524902
ee,0.0,0.05996702441112309,0.9105916066910411,0.0,0.0,0.029441368897835933
ef_,0.0,0.0,0.0,0.19882468168462283,0.0,0.8011753183153771
_ef,0.0,0.0,0.0,0.7515987882867722,0.0,0.24840121171322785
ef,0.0,0.3667152149348906,0.0,0.5451458995485378,0.0,0.08813888551657158
eg_,0.0,0.0,0.31294964028776984,0.2086330935251798,0.1043165467625899,0.37410071942446055
_eg,0.0,0.0,0.02870707070707068,0.20505050505050504,0.5044242424242424,0.2618181818181819
eg,0.11652630409348634,0.11693085108292837,0.13133747966442041,0.41382281400763754,0.19543622095781835,0.025946330193708903
eh_,0.7105208976734609,0.0,0.0,0.0,0.0,0.2894791023265391
_eh,0.13002818344862924,0.0,0.6501409172431464,0.0,0.0,0.21983089930822447
eh,0.13745586792129622,0.1736425921439247,0.4122844009873117,0.04804536255109859,0.19278805380635577,0.03578372259001305
ei_,0.03834313914609053,0.06488420567558298,0.15710716020804755,0.6794803097850939,0.0,0.06018518518518519
_ei,0.08090872857712234,0.0,0.6472698286169788,0.0,0.0,0.2718214428058988
